"id","name","exercise type","difficulty","attributes","duration","play","Average total exp","Average Finger Strength exp","Average Power exp","Average Endurance exp","Average Flexibility exp","Average Fitness exp"
1,"Boulder","No interaction",3,"Power|Endurance",10,0,0,0,0,0,0,0
2,"Definition wall","Repetitions",3,"Endurance",22,83,804,157,51,45,263,287
3,"Lead","No interaction",4,"Power|Endurance|Fitness",10,0,0,0,0,0,0,0
4,"Freestyle handboard","Interval",2,"Finger Strength",76,66,60,0,0,0,60,0
5,"Hang edge easy","Interval",1,"Finger Strength",52,122,410,400,0,0,10,0
6,"Hang edge extreme","Interval",5,"Finger Strength",60,48,84,29,55,0,0,0
7,"Hang edge hard","Interval",3,"Finger Strength",56,59,388,326,0,36,26,0
8,"Hang edge medium","Interval",2,"Finger Strength",51,197,176,114,1,10,33,18
9,"Hang slope easy","Interval",2,"Finger Strength",91,17,155,75,80,0,0,0
10,"Hang slope extreme","Interval",5,"Finger Strength",67,14,35,35,0,0,0,0
11,"Hang slope hard","Interval",4,"Finger Strength",60,33,789,237,115,285,110,43
12,"Hang slope medium","Interval",3,"Finger Strength",40,3,0,0,0,0,0,0
13,"Hang three back finger easy","Interval",2,"Finger Strength",25,0,0,0,0,0,0,0
14,"Hang three back finger extreme","Interval",5,"Finger Strength",25,0,0,0,0,0,0,0
15,"Hang three back finger hard","Interval",4,"Finger Strength",67,14,1430,540,75,740,0,75
16,"Hang three back finger medium","Interval",3,"Finger Strength",56,54,227,0,6,20,194,6
17,"Hang three front finger easy","Interval",2,"Finger Strength",61,1,0,0,0,0,0,0
18,"Hang three front finger extreme","Interval",5,"Finger Strength",25,0,0,0,0,0,0,0
19,"Hang three front finger hard","Interval",4,"Finger Strength",67,15,1430,540,75,740,0,75
20,"Hang three front finger medium","Interval",3,"Finger Strength",56,44,260,7,8,0,237,8
21,"Hang two back finger easy","Interval",3,"Finger Strength",25,0,0,0,0,0,0,0
22,"Hang two back finger extreme","Interval",5,"Finger Strength",25,0,0,0,0,0,0,0
23,"Hang two back finger hard","Interval",5,"Finger Strength",63,20,352,352,0,0,0,0
24,"Hang two back finger medium","Interval",4,"Finger Strength",25,0,0,0,0,0,0,0
25,"Hang two front finger easy","Interval",2,"Finger Strength",60,15,1430,540,75,740,0,75
26,"Hang two front finger extreme","Interval",5,"Finger Strength",25,0,0,0,0,0,0,0
27,"Hang two front finger hard","Interval",4,"Finger Strength",67,9,640,640,0,0,0,0
28,"Hang two front finger medium","Interval",3,"Finger Strength",57,9,60,0,0,60,0,0
29,"Hang two middle finger easy","Interval",2,"Finger Strength",59,14,224,224,0,0,0,0
30,"Hang two middle finger extreme","Interval",5,"Finger Strength",25,0,0,0,0,0,0,0
31,"Hang two middle finger hard","Interval",4,"Finger Strength",67,10,640,640,0,0,0,0
32,"Hang two middle finger medium","Interval",3,"Finger Strength",25,0,0,0,0,0,0,0
33,"Elbow rotation stretch","Time",1,"Flexibility",40,28,1068,99,206,0,483,279
34,"Tricep strech","Time",1,"Flexibility",45,24,879,226,116,0,496,41
35,"Shoulder lats stretch","Time",1,"Flexibility",30,24,432,171,0,0,261,0
36,"Shoulder lats side stretch","Time",1,"Flexibility",45,24,331,159,35,0,138,0
37,"Shoulder pectoral strech","Time",1,"Flexibility",45,22,702,315,119,0,173,95
38,"Hands behind back strech","Time",1,"Flexibility",45,22,569,288,109,0,173,0
39,"Middle back lats stretch","Time",1,"Flexibility",46,32,343,316,27,0,0,0
40,"Forarm upper back stretch","Time",1,"Flexibility",26,15,76,38,38,0,0,0
41,"The bagel shoulder strech","Time",1,"Flexibility",55,13,371,58,121,0,192,0
42,"Lower back stretch","Time",1,"Flexibility",29,21,1411,1233,69,0,109,0
43,"Hips stretch","Time",1,"Flexibility",30,42,1133,385,72,0,0,676
44,"Spreaded legs side strech","Time",1,"Flexibility",40,28,1162,320,81,0,0,761
45,"Split stretch","Time",1,"Flexibility",30,26,0,0,0,0,0,0
46,"Hips and glutes stretch","Time",1,"Flexibility",49,35,38,0,4,14,2,18
47,"Hips and quads stretch","Time",1,"Flexibility",47,30,0,0,0,0,0,0
48,"Quads stretch","Time",1,"Flexibility",33,30,412,65,134,0,213,0
49,"Standing tucked glutes stretch","Time",1,"Flexibility",30,25,20,10,10,0,0,0
50,"Standing glutes stretch","Time",1,"Flexibility",30,24,57,57,0,0,0,0
51,"Leg back stretch","Time",1,"Flexibility",40,22,57,57,0,0,0,0
52,"Jumping jacks","Time",1,"Fitness",33,12,5,0,5,0,0,0
53,"Wall sit","Time",1,"Fitness",30,10,0,0,0,0,0,0
54,"Push ups","Repetitions",2,"Power|Fitness",28,57,105,67,30,2,6,0
55,"Wide push ups","Repetitions",2,"Power|Fitness",29,31,221,221,0,0,0,0
56,"Triceps push ups","Time",2,"Power|Fitness",22,30,1608,373,108,455,554,118
57,"Crunches","Time",2,"Power|Fitness",42,22,914,43,95,5,657,115
58,"Step ups","Time",1,"Fitness",30,10,35,35,0,0,0,0
59,"Squats","Time",1,"Fitness",30,10,0,0,0,0,0,0
60,"Dips","Time",2,"Power|Fitness",30,19,939,36,32,0,750,121
61,"Plank","Time",3,"Fitness",56,72,1575,746,0,0,829,0
62,"High knees","Time",3,"Fitness",30,10,2280,2280,0,0,0,0
63,"Lunges","Time",1,"Fitness",30,10,2280,2280,0,0,0,0
64,"Walking push ups","Time",2,"Power|Fitness",30,10,2280,2280,0,0,0,0
65,"Pull ups","Repetitions",3,"Power|Fitness",76,17,110,0,40,17,13,40
66,"Chin ups","Repetitions",3,"Power|Fitness",23,19,0,0,0,0,0,0
